StockCode,total_revenue,total_quantity_sold,Average Selling Price,revenue_generated_category,quantity_sold_category,average_selling_price_category,revenue_from_high_value_customers,quantitysold_to_high_value_customer
62043B,14.11,17,0.83,Low Revenue,Low Qunatity,Low 20-40% Range,5.81,7.0
62074B,6.72,16,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,1.68,4.0
62086A,167.7,86,1.95,Low Revenue,Low Qunatity,Medium 40-60% Range,78.0,40.0
62094B,2.55,1,2.55,Low Revenue,Low Qunatity,High 60-80% Range,2.55,1.0
62096A,132.5,106,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,117.5,94.0
62096B,2.5,2,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,2.5,2.0
62097B,7.469999999999999,9,0.8299999999999998,Low Revenue,Low Qunatity,Low 20-40% Range,0.0,0.0
70006,1522.3999999999999,2500,0.60896,High Revenue,High Quantity,Very Low 0-20% Range,1179.86,2088.0
70007,591.51,703,0.8414082503556187,Medium Revenue,Medium Quantity,Low 20-40% Range,274.82,410.0
71038,1244.95,239,5.2089958158995815,High Revenue,Medium Quantity,Very High 80-100% Range,863.45,169.0
71050,11.549999999999999,33,0.35,Low Revenue,Low Qunatity,Very Low 0-20% Range,5.949999999999999,17.0
71053,5698.45,1581,3.604332700822264,High Revenue,High Quantity,High 60-80% Range,3909.19,1091.0
71101E,235.44,288,0.8175,Medium Revenue,Medium Quantity,Low 20-40% Range,85.28,104.0
71143,8.5,10,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,0.0,0.0
71215,4.62,11,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.0,0.0
71270,169.96,135,1.258962962962963,Low Revenue,Medium Quantity,Low 20-40% Range,104.96,83.0
71279,397.50000000000006,138,2.8804347826086962,Medium Revenue,Medium Quantity,High 60-80% Range,303.1,106.0
71403,88.5,30,2.95,Low Revenue,Low Qunatity,High 60-80% Range,70.80000000000001,24.0
71406C,49.56,118,0.42000000000000004,Low Revenue,Medium Quantity,Very Low 0-20% Range,32.34,77.0
71459,9339.65,12017,0.777203128900724,High Revenue,High Quantity,Very Low 0-20% Range,7191.51,9387.0
71477,19831.72,6592,3.008452669902913,High Revenue,High Quantity,High 60-80% Range,16028.33,5421.0
71495A,34.56,96,0.36000000000000004,Low Revenue,Low Qunatity,Very Low 0-20% Range,17.28,48.0
71495B,53.52,148,0.36162162162162165,Low Revenue,Medium Quantity,Very Low 0-20% Range,36.24,100.0
71496A,28.62,54,0.53,Low Revenue,Low Qunatity,Very Low 0-20% Range,25.44,48.0
71496B,7.37,13,0.566923076923077,Low Revenue,Low Qunatity,Very Low 0-20% Range,2.6,4.0
71510,36.519999999999996,52,0.7023076923076922,Low Revenue,Low Qunatity,Very Low 0-20% Range,22.92,36.0
72024U,15.120000000000001,72,0.21000000000000002,Low Revenue,Low Qunatity,Very Low 0-20% Range,5.04,24.0
72051S,19.32,46,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.84,2.0
72122,254.6,268,0.95,Medium Revenue,Medium Quantity,Low 20-40% Range,102.6,108.0
72127,208.1,168,1.2386904761904762,Medium Revenue,Medium Quantity,Low 20-40% Range,105.6,86.0
72128,125.13,165,0.7583636363636364,Low Revenue,Medium Quantity,Very Low 0-20% Range,57.04,76.0
72130,126.79,215,0.5897209302325581,Low Revenue,Medium Quantity,Very Low 0-20% Range,73.91000000000001,127.0
72131,234.45,135,1.7366666666666666,Medium Revenue,Medium Quantity,Medium 40-60% Range,37.05,19.0
72132,50.699999999999996,26,1.9499999999999997,Low Revenue,Low Qunatity,Medium 40-60% Range,35.1,18.0
72133,48.75,39,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,8.75,7.0
72134,45.48,96,0.47374999999999995,Low Revenue,Low Qunatity,Very Low 0-20% Range,15.12,36.0
72140E,21.25,25,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,10.2,12.0
72225C,96.0,384,0.25,Low Revenue,Medium Quantity,Very Low 0-20% Range,68.16,288.0
72232,557.27,2933,0.19,Medium Revenue,High Quantity,Very Low 0-20% Range,391.78000000000003,2062.0
72349B,1306.38,683,1.912708638360176,High Revenue,Medium Quantity,Medium 40-60% Range,778.74,413.0
72351A,2338.56,1212,1.9295049504950494,High Revenue,High Quantity,Medium 40-60% Range,1777.8600000000001,945.0
72351B,3801.44,2032,1.8707874015748032,High Revenue,High Quantity,Medium 40-60% Range,2942.54,1623.0
72369A,35.0,28,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,7.5,6.0
72586,200.34,477,0.42,Low Revenue,Medium Quantity,Very Low 0-20% Range,130.62,311.0
72598,303.75,387,0.7848837209302325,Medium Revenue,Medium Quantity,Very Low 0-20% Range,204.29999999999998,270.0
72709,37.4,44,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,36.55,43.0
72741,7174.4,5360,1.3385074626865672,High Revenue,High Quantity,Medium 40-60% Range,4730.65,3625.0
72760B,3203.04,336,9.532857142857143,High Revenue,Medium Quantity,Very High 80-100% Range,2118.49,227.0
72780,75.64999999999999,89,0.8499999999999999,Low Revenue,Low Qunatity,Low 20-40% Range,49.3,58.0
72783,8.4,4,2.1,Low Revenue,Low Qunatity,Medium 40-60% Range,0.0,0.0
72798C,11.549999999999999,7,1.65,Low Revenue,Low Qunatity,Medium 40-60% Range,6.6,4.0
72799C,123.68,80,1.546,Low Revenue,Low Qunatity,Medium 40-60% Range,50.040000000000006,36.0
72799E,647.8600000000001,358,1.809664804469274,Medium Revenue,Medium Quantity,Medium 40-60% Range,266.63000000000005,209.0
72799F,314.90000000000003,110,2.8627272727272732,Medium Revenue,Medium Quantity,High 60-80% Range,132.0,48.0
72800B,255.45999999999998,134,1.906417910447761,Medium Revenue,Medium Quantity,Medium 40-60% Range,127.89,75.0
72800C,158.56,96,1.6516666666666666,Low Revenue,Low Qunatity,Medium 40-60% Range,76.89,55.0
72800D,219.29999999999998,86,2.55,Medium Revenue,Low Qunatity,High 60-80% Range,137.7,54.0
72800E,805.71,393,2.0501526717557255,Medium Revenue,Medium Quantity,Medium 40-60% Range,455.1,214.0
72801C,148.38,126,1.1776190476190476,Low Revenue,Medium Quantity,Low 20-40% Range,63.75,51.0
72801D,57.5,46,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,38.75,31.0
72801G,68.75,55,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,56.25,45.0
72802A,1143.59,283,4.04095406360424,High Revenue,Medium Quantity,High 60-80% Range,764.76,192.0
72802B,1329.3600000000001,726,1.8310743801652893,High Revenue,Medium Quantity,Medium 40-60% Range,836.36,610.0
72802C,2014.79,1045,1.9280287081339713,High Revenue,High Quantity,Medium 40-60% Range,1188.55,845.0
72803A,692.75,523,1.3245697896749522,Medium Revenue,Medium Quantity,Medium 40-60% Range,344.25,441.0
72807A,1308.53,317,4.127854889589905,High Revenue,Medium Quantity,High 60-80% Range,688.03,171.0
72807B,1307.5,318,4.111635220125786,High Revenue,Medium Quantity,High 60-80% Range,780.5,194.0
72807C,2498.47,615,4.0625528455284545,High Revenue,Medium Quantity,High 60-80% Range,1242.27,307.0
72811,67.25,49,1.3724489795918366,Low Revenue,Low Qunatity,Medium 40-60% Range,55.33,41.0
72812,37.38,12,3.115,Low Revenue,Low Qunatity,High 60-80% Range,24.779999999999998,6.0
72815,7.5,2,3.75,Low Revenue,Low Qunatity,High 60-80% Range,0.0,0.0
72816,763.31,755,1.0110066225165562,Medium Revenue,High Quantity,Low 20-40% Range,620.8100000000001,617.0
72817,764.72,820,0.9325853658536586,Medium Revenue,High Quantity,Low 20-40% Range,458.44,462.0
72818,722.41,1725,0.4187884057971014,Medium Revenue,High Quantity,Very Low 0-20% Range,502.13,1205.0
72819,342.65,159,2.1550314465408804,Medium Revenue,Medium Quantity,Medium 40-60% Range,124.6,56.0
72821,18.15,11,1.65,Low Revenue,Low Qunatity,Medium 40-60% Range,6.6,4.0
75011,129.28,160,0.808,Low Revenue,Medium Quantity,Very Low 0-20% Range,111.11,137.0
75013B,31.349999999999994,19,1.6499999999999997,Low Revenue,Low Qunatity,Medium 40-60% Range,9.899999999999999,6.0
75049L,6107.049999999999,6821,0.8953305966867027,High Revenue,High Quantity,Low 20-40% Range,4467.849999999999,5141.0
75131,522.5600000000001,488,1.0708196721311476,Medium Revenue,Medium Quantity,Low 20-40% Range,25.14,18.0
75172,85.31,93,0.9173118279569893,Low Revenue,Low Qunatity,Low 20-40% Range,13.43,17.0
75178,210.19,455,0.46195604395604395,Medium Revenue,Medium Quantity,Very Low 0-20% Range,182.69,433.0
77079,2.12,1,2.12,Low Revenue,Low Qunatity,Medium 40-60% Range,0.0,0.0
77101A,423.22,386,1.0964248704663213,Medium Revenue,Medium Quantity,Low 20-40% Range,409.47,375.0
78033,167.45,35,4.784285714285714,Low Revenue,Low Qunatity,Very High 80-100% Range,113.9,26.0
78034B,15.6,8,1.95,Low Revenue,Low Qunatity,Medium 40-60% Range,11.7,6.0
78124,231.25,185,1.25,Medium Revenue,Medium Quantity,Low 20-40% Range,1.25,1.0
79000,2659.6,3688,0.7211496746203905,High Revenue,High Quantity,Very Low 0-20% Range,1833.1000000000001,2614.0
79026B,10.61,25,0.4244,Low Revenue,Low Qunatity,Very Low 0-20% Range,10.61,25.0
79030D,194.04,420,0.46199999999999997,Low Revenue,Medium Quantity,Very Low 0-20% Range,156.06,342.0
79030G,542.9399999999999,1250,0.43435199999999996,Medium Revenue,High Quantity,Very Low 0-20% Range,427.74,974.0
79051A,205.51,659,0.3118512898330804,Medium Revenue,Medium Quantity,Very Low 0-20% Range,110.19999999999999,380.0
79062D,19.4,52,0.37307692307692303,Low Revenue,Low Qunatity,Very Low 0-20% Range,11.280000000000001,24.0
79063C,43.46,234,0.18572649572649574,Low Revenue,Medium Quantity,Very Low 0-20% Range,34.15,185.0
79063D,34.91,189,0.18470899470899468,Low Revenue,Medium Quantity,Very Low 0-20% Range,25.6,140.0
79066K,590.0799999999999,706,0.8358073654390934,Medium Revenue,Medium Quantity,Low 20-40% Range,419.22999999999996,505.0
79067,348.75,93,3.75,Medium Revenue,Low Qunatity,High 60-80% Range,292.5,78.0
79071B,59.0,20,2.95,Low Revenue,Low Qunatity,High 60-80% Range,26.55,9.0
79144B,40.44,102,0.3964705882352941,Low Revenue,Low Qunatity,Very Low 0-20% Range,21.119999999999997,56.0
79144C,24.479999999999997,64,0.38249999999999995,Low Revenue,Low Qunatity,Very Low 0-20% Range,18.599999999999998,50.0
79149B,7.56,18,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,2.0999999999999996,5.0
79151B,4.62,11,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.42,1.0
79157B,3.4,4,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,0.0,0.0
79157V,4.25,5,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,0.0,0.0
79160,798.84,446,1.791121076233184,Medium Revenue,Medium Quantity,Medium 40-60% Range,691.74,395.0
79161A,5.9,2,2.95,Low Revenue,Low Qunatity,High 60-80% Range,2.95,1.0
79163,621.87,1517,0.4099340804218853,Medium Revenue,High Quantity,Very Low 0-20% Range,389.21999999999997,998.0
79164,699.96,1672,0.41863636363636364,Medium Revenue,High Quantity,Very Low 0-20% Range,278.28000000000003,636.0
79190A,105.0,250,0.42,Low Revenue,Medium Quantity,Very Low 0-20% Range,86.1,205.0
79190B,201.0,550,0.3654545454545455,Low Revenue,Medium Quantity,Very Low 0-20% Range,166.98000000000002,469.0
79190D,82.74,197,0.42,Low Revenue,Medium Quantity,Very Low 0-20% Range,66.36,158.0
79191B,59.5,70,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,42.5,50.0
79191C,466.81,661,0.7062178517397882,Medium Revenue,Medium Quantity,Very Low 0-20% Range,366.51,543.0
79191D,21.249999999999996,25,0.8499999999999999,Low Revenue,Low Qunatity,Low 20-40% Range,3.4,4.0
79192A,3.75,3,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,2.5,2.0
79302M,912.1,342,2.6669590643274854,Medium Revenue,Medium Quantity,High 60-80% Range,649.1,242.0
79321,45505.310000000005,9498,4.791041271846705,High Revenue,High Quantity,Very High 80-100% Range,39966.71,8398.0
79323B,54.0,8,6.75,Low Revenue,Low Qunatity,Very High 80-100% Range,0.0,0.0
79323P,27.0,4,6.75,Low Revenue,Low Qunatity,Very High 80-100% Range,0.0,0.0
79329,12.18,12,1.015,Low Revenue,Low Qunatity,Low 20-40% Range,2.2800000000000002,6.0
79331,17.5,26,0.6730769230769231,Low Revenue,Low Qunatity,Very Low 0-20% Range,4.5600000000000005,12.0
79336,13.680000000000003,36,0.3800000000000001,Low Revenue,Low Qunatity,Very Low 0-20% Range,2.2800000000000002,6.0
79337,250.06,638,0.3919435736677116,Medium Revenue,Medium Quantity,Very Low 0-20% Range,75.24000000000001,198.0
79403,65.44999999999999,77,0.8499999999999999,Low Revenue,Low Qunatity,Low 20-40% Range,24.650000000000002,29.0
79406,30.8,140,0.22,Low Revenue,Medium Quantity,Very Low 0-20% Range,10.56,48.0
81950B,28.129999999999995,97,0.29,Low Revenue,Low Qunatity,Very Low 0-20% Range,26.099999999999998,90.0
81950V,8.889999999999999,21,0.4233333333333333,Low Revenue,Low Qunatity,Very Low 0-20% Range,4.909999999999999,15.0
81952B,38.0,200,0.19,Low Revenue,Medium Quantity,Very Low 0-20% Range,6.08,32.0
81952V,67.83,357,0.19,Low Revenue,Medium Quantity,Very Low 0-20% Range,26.03,137.0
81953B,2.09,11,0.18999999999999997,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.95,5.0
81953P,5.32,28,0.19,Low Revenue,Low Qunatity,Very Low 0-20% Range,5.32,28.0
82001S,5201.08,1500,3.4673866666666666,High Revenue,High Quantity,High 60-80% Range,4494.28,1300.0
82011A,60.0,16,3.75,Low Revenue,Low Qunatity,High 60-80% Range,48.75,13.0
82011B,131.85,39,3.3807692307692307,Low Revenue,Low Qunatity,High 60-80% Range,113.1,34.0
82011C,172.05,51,3.373529411764706,Low Revenue,Low Qunatity,High 60-80% Range,130.8,40.0
82095,53.550000000000004,7,7.65,Low Revenue,Low Qunatity,Very High 80-100% Range,15.3,2.0
82482,19329.2,8013,2.4122301260451766,High Revenue,High Quantity,High 60-80% Range,15447.6,6557.0
82483,14327.82,2282,6.278624014022787,High Revenue,High Quantity,Very High 80-100% Range,10999.07,1777.0
82484,33571.76,5798,5.790231114177303,High Revenue,High Quantity,Very High 80-100% Range,29353.26,5229.0
82486,16875.93,2003,8.425327009485772,High Revenue,High Quantity,Very High 80-100% Range,12582.73,1507.0
82494L,16880.97,6020,2.8041478405315616,High Revenue,High Quantity,High 60-80% Range,12518.220000000001,4511.0
82551,4157.219999999999,2741,1.5166800437796422,High Revenue,High Quantity,Medium 40-60% Range,3519.22,2301.0
82552,4350.719999999999,2845,1.529251318101933,High Revenue,High Quantity,Medium 40-60% Range,3479.27,2244.0
82567,948.4100000000001,467,2.030856531049251,Medium Revenue,Medium Quantity,Medium 40-60% Range,734.21,365.0
82578,1055.5600000000002,1896,0.5567299578059073,Medium Revenue,High Quantity,Very Low 0-20% Range,697.51,1245.0
82580,2653.4,4842,0.5479966955803387,High Revenue,High Quantity,Very Low 0-20% Range,1884.5500000000002,3385.0
82581,1901.43,3575,0.5318685314685315,High Revenue,High Quantity,Very Low 0-20% Range,1317.93,2455.0
82582,8285.52,4163,1.9902762430939227,High Revenue,High Quantity,Medium 40-60% Range,6832.320000000001,3471.0
82583,12014.94,5983,2.0081798428881834,High Revenue,High Quantity,Medium 40-60% Range,10467.36,5232.0
82599,853.9800000000001,409,2.0879706601466994,Medium Revenue,Medium Quantity,Medium 40-60% Range,597.7800000000001,287.0
82600,11444.580000000002,5505,2.0789427792915536,High Revenue,High Quantity,Medium 40-60% Range,9709.380000000001,4673.0
82605,29.400000000000002,14,2.1,Low Revenue,Low Qunatity,Medium 40-60% Range,27.300000000000004,13.0
82613A,83.75,67,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,51.25,41.0
82613B,205.25,297,0.6910774410774411,Medium Revenue,Medium Quantity,Very Low 0-20% Range,119.85,149.0
82613C,207.05,325,0.6370769230769231,Medium Revenue,Medium Quantity,Very Low 0-20% Range,94.85,129.0
82613D,210.1,354,0.593502824858757,Medium Revenue,Medium Quantity,Very Low 0-20% Range,100.75,147.0
82615,91.8,36,2.55,Low Revenue,Low Qunatity,High 60-80% Range,91.8,36.0
82616B,416.78000000000003,308,1.3531818181818183,Medium Revenue,Medium Quantity,Medium 40-60% Range,184.18,126.0
82616C,385.52,277,1.391768953068592,Medium Revenue,Medium Quantity,Medium 40-60% Range,161.77,98.0
84006,605.1999999999999,712,0.8499999999999999,Medium Revenue,Medium Quantity,Low 20-40% Range,475.99999999999994,560.0
84012,776.9,826,0.9405569007263922,Medium Revenue,High Quantity,Low 20-40% Range,357.84999999999997,341.0
84016,10.5,25,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.0,0.0
84029E,12555.41,3481,3.606839988509049,High Revenue,High Quantity,High 60-80% Range,9903.2,2818.0
84029G,9002.92,2388,3.770067001675042,High Revenue,High Quantity,High 60-80% Range,7124.67,1919.0
84030E,4948.91,1219,4.059811320754717,High Revenue,High Quantity,High 60-80% Range,3579.66,894.0
84031A,397.93,117,3.401111111111111,Medium Revenue,Medium Quantity,High 60-80% Range,267.93,81.0
84031B,310.19,87,3.5654022988505747,Medium Revenue,Low Qunatity,High 60-80% Range,186.64000000000001,48.0
84032A,900.5100000000001,377,2.3886206896551725,Medium Revenue,Medium Quantity,High 60-80% Range,508.69,231.0
84032B,1218.1000000000001,612,1.9903594771241833,High Revenue,Medium Quantity,Medium 40-60% Range,753.96,410.0
84033,37.95,23,1.6500000000000001,Low Revenue,Low Qunatity,Medium 40-60% Range,31.349999999999998,19.0
84050,3858.23,2771,1.3923601587874415,High Revenue,High Quantity,Medium 40-60% Range,3307.13,2437.0
84051,127.5,150,0.85,Low Revenue,Medium Quantity,Low 20-40% Range,49.3,58.0
84077,12137.8,49182,0.24679354235289333,High Revenue,High Quantity,Very Low 0-20% Range,9143.359999999999,38618.0
84078A,11579.150000000001,317,36.52728706624606,High Revenue,Medium Quantity,Very High 80-100% Range,8448.300000000001,234.0
84086B,47.2,16,2.95,Low Revenue,Low Qunatity,High 60-80% Range,29.5,10.0
84086C,271.40000000000003,92,2.95,Medium Revenue,Low Qunatity,High 60-80% Range,41.300000000000004,14.0
84192,143.75,115,1.25,Low Revenue,Medium Quantity,Low 20-40% Range,31.25,25.0
84199,26.25,125,0.21,Low Revenue,Medium Quantity,Very Low 0-20% Range,9.45,45.0
84201B,2.47,13,0.19,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.0,0.0
84201C,0.95,5,0.19,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.0,0.0
84206A,4.5600000000000005,24,0.19000000000000003,Low Revenue,Low Qunatity,Very Low 0-20% Range,2.2800000000000002,12.0
84206B,0.95,5,0.19,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.0,0.0
84206C,1.52,8,0.19,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.0,0.0
84212,4173.05,8713,0.47894525421783546,High Revenue,High Quantity,Very Low 0-20% Range,3104.15,6559.0
84218,120.89999999999999,62,1.95,Low Revenue,Low Qunatity,Medium 40-60% Range,54.599999999999994,28.0
84226,12.75,15,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,8.5,10.0
84227,0.42,1,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,0.42,1.0
84228,33.6,80,0.42000000000000004,Low Revenue,Low Qunatity,Very Low 0-20% Range,12.18,29.0
84231,68.25,105,0.65,Low Revenue,Low Qunatity,Very Low 0-20% Range,53.95,83.0
84247E,244.85000000000002,83,2.95,Medium Revenue,Low Qunatity,High 60-80% Range,82.60000000000001,28.0
84247G,126.0,300,0.42,Low Revenue,Medium Quantity,Very Low 0-20% Range,105.84,252.0
84247K,67.85000000000001,23,2.95,Low Revenue,Low Qunatity,High 60-80% Range,5.9,2.0
84247L,25.2,60,0.42,Low Revenue,Low Qunatity,Very Low 0-20% Range,10.08,24.0
84247N,64.9,22,2.95,Low Revenue,Low Qunatity,High 60-80% Range,14.75,5.0
84249A,63.8,148,0.43108108108108106,Low Revenue,Medium Quantity,Very Low 0-20% Range,38.6,88.0
84251B,25.270000000000003,133,0.19000000000000003,Low Revenue,Medium Quantity,Very Low 0-20% Range,9.120000000000001,48.0
84251C,2.2800000000000002,12,0.19000000000000003,Low Revenue,Low Qunatity,Very Low 0-20% Range,2.2800000000000002,12.0
84251G,27.360000000000003,144,0.19000000000000003,Low Revenue,Medium Quantity,Very Low 0-20% Range,9.120000000000001,48.0
84279B,442.5,118,3.75,Medium Revenue,Medium Quantity,High 60-80% Range,198.75,53.0
84279P,734.43,197,3.7280710659898473,Medium Revenue,Medium Quantity,High 60-80% Range,356.25,95.0
84306,21.9,2,10.95,Low Revenue,Low Qunatity,Very High 80-100% Range,10.95,1.0
84313B,175.8,76,2.3131578947368423,Low Revenue,Low Qunatity,High 60-80% Range,145.14999999999998,65.0
84313C,908.15,461,1.9699566160520607,Medium Revenue,Medium Quantity,Medium 40-60% Range,823.25,421.0
84341B,214.67000000000002,534,0.4020037453183521,Medium Revenue,Medium Quantity,Very Low 0-20% Range,149.28,378.0
84347,16629.07,7508,2.2148468300479487,High Revenue,High Quantity,Medium 40-60% Range,13569.52,6287.0
84352,526.4,32,16.45,Medium Revenue,Low Qunatity,Very High 80-100% Range,355.95,21.0
84356,1005.25,235,4.277659574468085,Medium Revenue,Medium Quantity,Very High 80-100% Range,664.6,168.0
84358,287.74,32,8.991875,Medium Revenue,Low Qunatity,Very High 80-100% Range,247.94,28.0
84360,388.3,74,5.2472972972972975,Medium Revenue,Low Qunatity,Very High 80-100% Range,137.6,24.0
84375,6475.47,3091,2.094943384018117,High Revenue,High Quantity,Medium 40-60% Range,3710.07,1757.0
84378,6108.8,4739,1.2890483224308926,High Revenue,High Quantity,Medium 40-60% Range,4196.8,3279.0
84380,5033.29,3888,1.2945704732510288,High Revenue,High Quantity,Medium 40-60% Range,3197.04,2499.0
84387A,21.45,11,1.95,Low Revenue,Low Qunatity,Medium 40-60% Range,21.45,11.0
84388,13.14,24,0.5475,Low Revenue,Low Qunatity,Very Low 0-20% Range,5.550000000000001,11.0
84402B,38.71,49,0.79,Low Revenue,Low Qunatity,Very Low 0-20% Range,38.71,49.0
84406B,5009.7300000000005,1355,3.697217712177122,High Revenue,High Quantity,High 60-80% Range,3692.58,1016.0
84415A,7.5,6,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,7.5,6.0
84415B,7.5,2,3.75,Low Revenue,Low Qunatity,High 60-80% Range,7.5,2.0
84422,220.41,551,0.40001814882032666,Medium Revenue,Medium Quantity,Very Low 0-20% Range,200.07000000000002,513.0
84429A,103.25000000000001,35,2.9500000000000006,Low Revenue,Low Qunatity,High 60-80% Range,23.6,8.0
84452,52.699999999999996,62,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,31.45,37.0
84457,85.0,100,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,47.599999999999994,56.0
84459A,507.4,356,1.4252808988764045,Medium Revenue,Medium Quantity,Medium 40-60% Range,245.16,180.0
84459B,560.24,376,1.49,Medium Revenue,Medium Quantity,Medium 40-60% Range,286.08,192.0
84461,56.099999999999994,22,2.55,Low Revenue,Low Qunatity,High 60-80% Range,33.15,13.0
84462,15.0,12,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,8.75,7.0
84465,29.5,10,2.95,Low Revenue,Low Qunatity,High 60-80% Range,11.8,4.0
84466,57.5,46,1.25,Low Revenue,Low Qunatity,Low 20-40% Range,18.75,15.0
84497,48.75,13,3.75,Low Revenue,Low Qunatity,High 60-80% Range,0.0,0.0
84499,5.949999999999999,7,0.8499999999999999,Low Revenue,Low Qunatity,Low 20-40% Range,5.1,6.0
84507B,79.05,31,2.55,Low Revenue,Low Qunatity,High 60-80% Range,43.349999999999994,17.0
84507C,160.64999999999998,63,2.55,Low Revenue,Low Qunatity,High 60-80% Range,104.55,41.0
84508A,3445.5000000000005,1630,2.1138036809815954,High Revenue,High Quantity,Medium 40-60% Range,3288.6000000000004,1560.0
84508B,145.35,57,2.55,Low Revenue,Low Qunatity,High 60-80% Range,73.94999999999999,29.0
84508C,117.3,46,2.55,Low Revenue,Low Qunatity,High 60-80% Range,81.6,32.0
84509A,1622.24,444,3.6536936936936937,High Revenue,Medium Quantity,High 60-80% Range,980.99,273.0
84509B,315.0,84,3.75,Medium Revenue,Low Qunatity,High 60-80% Range,213.75,57.0
84509C,213.3,62,3.4403225806451614,Medium Revenue,Low Qunatity,High 60-80% Range,115.80000000000001,36.0
84509E,86.06,66,1.303939393939394,Low Revenue,Low Qunatity,Medium 40-60% Range,67.5,50.0
84509G,683.75,429,1.593822843822844,Medium Revenue,Medium Quantity,Medium 40-60% Range,527.5,346.0
84510A,1027.09,833,1.233001200480192,Medium Revenue,High Quantity,Low 20-40% Range,667.09,545.0
84510C,124.92,98,1.2746938775510204,Low Revenue,Low Qunatity,Low 20-40% Range,54.92,42.0
84510E,26.05,25,1.042,Low Revenue,Low Qunatity,Low 20-40% Range,6.25,5.0
84519A,642.9399999999999,400,1.6073499999999998,Medium Revenue,Medium Quantity,Medium 40-60% Range,449.99,247.0
84519B,450.99,349,1.2922349570200573,Medium Revenue,Medium Quantity,Medium 40-60% Range,239.54,188.0
84520B,307.09,385,0.7976363636363636,Medium Revenue,Medium Quantity,Very Low 0-20% Range,183.84,240.0
84522,23.4,12,1.95,Low Revenue,Low Qunatity,Medium 40-60% Range,11.7,6.0
84527,84.44999999999999,47,1.7968085106382976,Low Revenue,Low Qunatity,Medium 40-60% Range,62.99999999999999,36.0
84531A,60.06,110,0.546,Low Revenue,Medium Quantity,Very Low 0-20% Range,43.68,76.0
84531B,55.379999999999995,102,0.5429411764705881,Low Revenue,Low Qunatity,Very Low 0-20% Range,43.68,80.0
84534B,39.1,46,0.85,Low Revenue,Low Qunatity,Low 20-40% Range,24.65,29.0
84535A,185.1,398,0.4650753768844221,Low Revenue,Medium Quantity,Very Low 0-20% Range,161.7,362.0
84535B,625.19,1060,0.5898018867924529,Medium Revenue,High Quantity,Very Low 0-20% Range,270.23,412.0
84536A,1041.16,2477,0.4203310456197013,Medium Revenue,High Quantity,Very Low 0-20% Range,685.42,1630.0
84536B,520.42,1298,0.400939907550077,Medium Revenue,High Quantity,Very Low 0-20% Range,169.62,398.0
84539,26.4,16,1.65,Low Revenue,Low Qunatity,Medium 40-60% Range,26.4,16.0
84548,24.75,15,1.65,Low Revenue,Low Qunatity,Medium 40-60% Range,1.65,1.0
84549,44.699999999999996,30,1.4899999999999998,Low Revenue,Low Qunatity,Medium 40-60% Range,34.8,24.0
84550,1.65,1,1.65,Low Revenue,Low Qunatity,Medium 40-60% Range,0.0,0.0
84551,1.65,1,1.65,Low Revenue,Low Qunatity,Medium 40-60% Range,1.65,1.0
84558A,439.55000000000007,149,2.9500000000000006,Medium Revenue,Medium Quantity,High 60-80% Range,321.55,109.0
84559A,209.88,246,0.853170731707317,Medium Revenue,Medium Quantity,Low 20-40% Range,168.23,197.0
84559B,162.35,191,0.85,Low Revenue,Medium Quantity,Low 20-40% Range,102.0,120.0
84562A,15.9,2,7.95,Low Revenue,Low Qunatity,Very High 80-100% Range,7.95,1.0
84563A,138.95000000000002,41,3.389024390243903,Low Revenue,Low Qunatity,High 60-80% Range,133.0,40.0
84563B,185.95000000000002,61,3.048360655737705,Low Revenue,Low Qunatity,High 60-80% Range,153.5,50.0
